feature,gain,gain_share
collaborative_score,446680.93812942505,0.6469304412418736
max_cf_similarity,71978.40417098999,0.10424671570993328
distance_km_log,26711.321685791016,0.03868615302167976
history_length,26425.515948295593,0.03827221901177626
popularity_score,25845.228046417236,0.03743178487554116
profile_cosine,19038.949635505676,0.027574214695749343
from_geographic,14189.939282417297,0.020551366529345284
from_collaborative,9971.941591262817,0.014442417446084604
content_score,8451.11609172821,0.0122397975725212
from_content,6628.131151199341,0.009599558530997743
from_popularity,6413.877115249634,0.009289253241062502
popularity_percentile,5906.341767311096,0.008554187025873822
proximity,4914.7523765563965,0.007118062697895832
mean_content_similarity,3688.8940649032593,0.005342645412844822
context_score,2981.3157062530518,0.0043178558131548835
cost_percentile,2623.652943611145,0.003799850881445276
max_content_similarity,2494.0898871421814,0.003612203999442386
seasonality,1304.683976650238,0.0018895809259964027
population_log,1197.0922322273254,0.0017337552151769945
budget_fit,1085.1443796157837,0.0015716205290868515
season_fit,1041.9254221916199,0.00150902627710575
trip_duration_days,293.9037113189697,0.0004256623496011239
same_continent,238.70850563049316,0.00034572283187732096
month_sin,139.84994220733643,0.00020254543477659712
month_cos,129.23131942749023,0.0001871664254346841
same_country,73.5999002456665,0.00010659513732706192
same_region,13.531100273132324,1.9597166395421976e-05
